Location,Property_Type,Sqft,BHK,Age,Metro_Dist,Amenities_Score,ROI_Pct,Demand_Index,Price
Ajmer Road,Independent Villa,3099,4,15,6.46,8,5.18,99,19500000.0
Jagatpura,Residential Plot,1377,0,17,0.4,1,11.22,64,5590000.0
Vaishali Nagar,Builder Floor,1942,1,19,3.39,3,3.81,43,15200000.0
Mansarovar,Builder Floor,1623,1,7,9.93,5,3.95,53,12760000.0
Pratap Nagar,Residential Plot,1412,0,10,9.98,1,7.28,59,5130000.0
Mansarovar,Residential Plot,4247,0,3,0.88,3,13.5,55,31070000.0
Ajmer Road,Apartment/Flat,2378,3,19,6.58,5,4.37,80,14390000.0
Malviya Nagar,Penthouse,4594,5,11,0.73,7,4.62,70,46800000.0
Kalwar Road,Builder Floor,1351,1,5,5.56,5,6.71,58,5920000.0
Vaishali Nagar,Penthouse,3451,4,13,7.95,8,6.84,64,31120000.0
Shyam Nagar,Penthouse,5069,5,11,6.01,10,3.8,98,44040000.0
Malviya Nagar,Builder Floor,1196,3,13,4.68,4,6.98,99,12030000.0
Mansarovar,Residential Plot,3763,0,11,6.11,3,14.18,44,27160000.0
Sitapura,Residential Plot,3015,0,15,8.83,2,13.81,53,9700000.0
Vaishali Nagar,Residential Plot,2837,0,16,4.45,3,7.61,92,22030000.0
Pratap Nagar,Penthouse,4100,4,17,4.75,7,7.64,85,19830000.0
Malviya Nagar,Apartment/Flat,1091,2,6,0.38,8,3.97,89,14510000.0
Pratap Nagar,Builder Floor,2492,1,0,10.59,8,7.88,73,14310000.0
Sitapura,Residential Plot,1063,0,11,3.03,2,11.15,36,2820000.0
Malviya Nagar,Independent Villa,3583,5,5,7.97,8,6.71,66,39330000.0
Jagatpura,Builder Floor,811,2,3,2.75,8,9.02,52,7060000.0
Malviya Nagar,Residential Plot,1751,0,7,1.31,3,12.13,55,17670000.0
Jagatpura,Independent Villa,3607,5,14,1.6,8,4.69,65,21940000.0
Vaishali Nagar,Apartment/Flat,1039,2,14,5.84,4,6.42,64,7970000.0
Shyam Nagar,Residential Plot,2570,0,12,6.35,2,8.62,56,19380000.0
Tonk Road,Apartment/Flat,2440,2,13,5.15,4,5.79,76,15200000.0
Tonk Road,Apartment/Flat,797,1,0,11.45,3,6.26,74,5260000.0
Bapu Nagar,Apartment/Flat,690,1,19,1.39,7,6.08,94,8240000.0
Mansarovar,Apartment/Flat,1381,2,1,9.54,4,5.11,62,10440000.0
Sitapura,Residential Plot,1302,0,16,6.1,3,6.69,69,2970000.0
Civil Lines,Builder Floor,911,3,19,10.38,7,5.31,39,12440000.0
Vaishali Nagar,Independent Villa,2342,5,9,4.06,5,5.98,70,22320000.0
Civil Lines,Penthouse,3549,4,1,0.85,10,5.08,55,51460000.0
Bapu Nagar,Independent Villa,2405,4,19,3.17,6,7.87,50,29290000.0
Tonk Road,Residential Plot,1601,0,3,10.12,1,11.21,63,10040000.0
Ajmer Road,Apartment/Flat,1337,3,18,2.27,5,6.45,49,8110000.0
Jagatpura,Builder Floor,824,2,15,11.57,5,3.58,95,3870000.0
Raja Park,Independent Villa,4858,4,13,1.3,5,8.68,68,61610000.0
Ajmer Road,Residential Plot,3604,0,9,6.43,2,14.3,36,18480000.0
Sitapura,Apartment/Flat,1739,1,3,5.99,8,9.31,61,7510000.0
C-Scheme,Penthouse,4528,4,1,2.47,10,6.74,64,64610000.0
Civil Lines,Independent Villa,1557,4,12,7.89,8,4.85,85,23790000.0
Shyam Nagar,Residential Plot,997,0,6,10.16,1,6.77,37,7250000.0
Pratap Nagar,Residential Plot,1338,0,12,11.65,2,9.59,78,4350000.0
Pratap Nagar,Penthouse,5626,5,2,5.9,8,5.6,38,30410000.0
Shyam Nagar,Residential Plot,3523,0,18,1.29,2,13.42,55,28930000.0
Bapu Nagar,Apartment/Flat,2049,3,6,11.98,3,7.7,90,23080000.0
Tonk Road,Residential Plot,2634,0,10,3.5,2,7.33,82,17450000.0
Shyam Nagar,Apartment/Flat,1228,3,6,9.57,7,8.73,79,11950000.0
Pratap Nagar,Builder Floor,1757,3,16,3.3,5,3.77,75,10020000.0
Civil Lines,Apartment/Flat,1162,2,6,6.19,5,6.67,72,15890000.0
C-Scheme,Penthouse,5690,5,14,9.37,9,8.78,69,87590000.0
Tonk Road,Residential Plot,4298,0,18,9.06,1,13.57,41,28450000.0
Bapu Nagar,Residential Plot,1783,0,0,4.15,3,14.3,73,20510000.0
Kalwar Road,Independent Villa,3544,5,1,0.63,8,8.02,85,18080000.0
Ajmer Road,Penthouse,4627,5,12,1.19,9,8.28,53,29740000.0
Mansarovar,Residential Plot,1373,0,8,11.54,3,14.26,51,8940000.0
Raja Park,Builder Floor,1014,2,1,6.94,8,4.23,56,14230000.0
Raja Park,Independent Villa,3080,3,5,9.3,5,4.33,39,32480000.0
Mansarovar,Builder Floor,1195,2,9,0.3,3,8.31,69,8950000.0
Shyam Nagar,Independent Villa,2113,5,14,4.25,8,9.52,62,22090000.0
Kalwar Road,Builder Floor,613,3,17,9.36,5,8.56,84,2460000.0
Sitapura,Independent Villa,3920,5,1,6.85,7,5.37,55,17130000.0
Jagatpura,Independent Villa,3702,3,10,10.1,9,6.61,40,21350000.0
Shyam Nagar,Builder Floor,1744,3,1,4.82,4,4.86,89,17450000.0
Shyam Nagar,Apartment/Flat,1588,2,19,2.64,8,5.37,40,15180000.0
Kalwar Road,Residential Plot,1615,0,4,3.19,3,13.25,49,6140000.0
Civil Lines,Builder Floor,1731,2,11,1.21,4,7.93,38,23490000.0
Pratap Nagar,Apartment/Flat,1655,3,0,9.12,6,5.2,40,9650000.0
Raja Park,Independent Villa,3926,3,4,3.74,6,7.96,90,39780000.0
Malviya Nagar,Residential Plot,2505,0,9,8.77,2,13.69,43,21690000.0
Jagatpura,Residential Plot,1364,0,1,3.64,2,9.17,99,7340000.0
Mansarovar,Residential Plot,2531,0,8,8.55,3,12.53,44,18460000.0
Tonk Road,Penthouse,3858,4,14,11.29,8,6.18,57,25570000.0
Tonk Road,Builder Floor,1320,2,10,3.23,8,9.0,51,10850000.0
Bapu Nagar,Penthouse,5698,4,1,9.61,9,7.64,54,68040000.0
Ajmer Road,Independent Villa,2477,4,16,8.36,7,8.02,81,14180000.0
C-Scheme,Penthouse,4132,5,16,1.93,10,4.51,77,69150000.0
Raja Park,Penthouse,5714,5,10,9.61,8,7.32,77,65510000.0
Shyam Nagar,Builder Floor,1260,1,4,9.19,3,9.62,60,10530000.0
